"sample_size,""rep"",""model"",""bias_intercept"",""bias_biomarkers"",""correctly_removed"",""rmse"""
"100,1,""Lasso_min"",5.99217955807139,10.6671580165581,0.4,0.926595205009398"
"100,1,""Lasso_1se"",4.94363678046696,21.2381685618834,0.6,1.00924866373368"
"100,1,""AdaptLasso_min"",5.90795158844413,10.0444779009113,0.4,0.923392659153305"
"100,1,""AdaptLasso_1se"",3.60622630767069,16.3917289248349,1,1.00276419637076"
"100,1,""Elastic_Net_min"",6.04142725280526,11.2563690667002,0.4,0.929263995103091"
"100,1,""Elastic_Net_1se"",5.03420633957012,22.2625243459176,0.6,1.0133393964643"
"100,1,""WQS"",-133.425507952319,9.22780535468376,1,0.972734226422625"
"500,1,""Lasso_min"",1.73411352998112,3.0007931017144,0.6,0.974930477181864"
"500,1,""Lasso_1se"",1.74284328917936,9.44992354271166,0.4,0.994379354205453"
"500,1,""AdaptLasso_min"",1.61268400026478,3.07535528811052,1,0.976545580708069"
"500,1,""AdaptLasso_1se"",1.39784299198464,4.5095301703608,1,0.999861119067426"
"500,1,""Elastic_Net_min"",1.74694779259424,3.12581481900191,0.6,0.975185780538344"
"500,1,""Elastic_Net_1se"",1.80047839866908,10.4737620303199,0.2,0.997517560635636"
"500,1,""WQS"",-145.095753216925,2.93507856352451,1,0.990039715045085"
"1000,1,""Lasso_min"",1.71574628249044,2.2708256705649,0.6,0.989922559591825"
"1000,1,""Lasso_1se"",0.978000289170355,7.43685363388645,0.4,1.00957855384238"
"1000,1,""AdaptLasso_min"",1.6862083738486,2.17489616706537,0.8,0.989940328014128"
"1000,1,""AdaptLasso_1se"",1.23290319132293,3.38786663766769,1,1.00785164259246"
"1000,1,""Elastic_Net_min"",1.69826280074689,2.35245898429312,0.6,0.989977230161453"
"1000,1,""Elastic_Net_1se"",0.960010777504954,7.66710262015341,0.4,1.00870829946835"
"1000,1,""WQS"",-133.792743579544,2.83134655471928,1,1.01118663582596"
"5000,1,""Lasso_min"",-0.147437088148972,0.868820429697481,0.6,0.988739478060674"
"5000,1,""Lasso_1se"",0.0317737744809456,4.2988727286296,0.6,0.996569062831849"
"5000,1,""AdaptLasso_min"",-0.18245897429123,0.795706057812287,1,0.988768806587971"
"5000,1,""AdaptLasso_1se"",-0.168711774478126,1.69435621883452,1,0.99857779778886"
"5000,1,""Elastic_Net_min"",-0.140038511205499,0.883871321538778,0.6,0.988740020878052"
"5000,1,""Elastic_Net_1se"",0.0615121134382807,4.47677119952254,0.6,0.996331452723279"
"5000,1,""WQS"",-132.244656252671,0.997139002653054,1,1.00597294582127"
"100,2,""Lasso_min"",-5.39639784453808,13.2955281725841,0.8,0.964700926195177"
"100,2,""Lasso_1se"",-5.22511394640011,24.1681636411545,0.8,1.04924063062965"
"100,2,""AdaptLasso_min"",-7.58415455102966,12.5436650231574,0.8,0.9679178277685"
"100,2,""AdaptLasso_1se"",-9.42924470686052,16.0444103349759,0.8,1.013433109622"
"100,2,""Elastic_Net_min"",-5.05268608796125,13.6746789143309,0.8,0.966555539557163"
"100,2,""Elastic_Net_1se"",-4.43966998655507,21.4414273307239,0.6,1.01876770225725"
"100,2,""WQS"",-121.487505333641,11.0322015641182,1,0.970018773006793"
"500,2,""Lasso_min"",-3.05211659317336,3.65436484078468,0.8,0.99770969607738"
"500,2,""Lasso_1se"",-1.09421790212647,9.9198459696129,0.8,1.03367534285853"
"500,2,""AdaptLasso_min"",-3.36856662719099,3.12836619263935,0.8,0.996681455519812"
"500,2,""AdaptLasso_1se"",-2.35650030842038,4.02736951478766,0.8,1.01536003058404"
"500,2,""Elastic_Net_min"",-2.96080665861476,3.7800884636328,0.8,0.998276642467916"
"500,2,""Elastic_Net_1se"",-1.20339427051677,10.1449643056847,0.6,1.03166964574505"
"500,2,""WQS"",-121.943361071917,3.37566075707745,1,1.00588937297625"
"1000,2,""Lasso_min"",-1.2751168061567,1.94162793083752,0.2,0.961040826415277"
"1000,2,""Lasso_1se"",-1.06970193030039,6.61354523433181,0.8,0.981487184170749"
"1000,2,""AdaptLasso_min"",-1.4599005014954,2.12171639058046,0.8,0.96584214017893"
